ID,Feature 1,Feature 2,Class
1,-0.646,0.763,Green
2,-0.61,0.617,Green
3,-0.596,0.915,Green
4,-0.565,0.927,Green
5,-0.542,0.631,Green
6,-0.542,0.941,Green
7,-0.535,0.848,Green
8,-0.527,0.615,Green
9,-0.431,0.505,Green
10,-0.43,0.426,Green
11,-0.429,0.322,Green
12,-0.417,0.569,Green
13,-0.4,0.814,Green
14,-0.344,-0.103,Blue
15,-0.34,0.322,Green
16,-0.332,-0.129,Blue
17,-0.325,0.343,Green
18,-0.317,-0.069,Blue
19,-0.312,-0.67,Blue
20,-0.312,-0.322,Blue
21,-0.308,-0.268,Blue
22,-0.299,0.333,Green
23,-0.289,0.753,Green
24,-0.285,0.544,Green
25,-0.26,0.485,Green
26,-0.247,0.409,Green
27,-0.246,-0.176,Blue
28,-0.24,0.41,Green
29,-0.235,-0.453,Blue
30,-0.201,0.867,Green
31,-0.199,0.518,Green
32,-0.193,-0.078,Blue
33,-0.187,-0.221,Blue
34,-0.173,0.651,Green
35,-0.151,0.711,Green
36,-0.104,-0.584,Blue
37,-0.092,-0.142,Blue
38,-0.066,-0.536,Blue
39,-0.062,-0.064,Blue
40,-0.058,-0.389,Blue
41,-0.052,-0.121,Blue
42,-0.021,-0.626,Blue
43,0.005,-0.666,Blue
44,0.01,-0.608,Blue
45,0.122,-0.331,Blue
46,0.124,0.227,Black
47,0.136,-0.25,Blue
48,0.143,-0.596,Blue
49,0.154,-0.373,Blue
50,0.159,-0.348,Blue
51,0.177,-0.498,Blue
52,0.277,0.493,Black
53,0.28,0.251,Black
54,0.312,0.208,Black
55,0.321,0.1,Black
56,0.333,0.394,Black
57,0.348,0.038,Black
58,0.356,0.505,Black
59,0.357,0.019,Black
60,0.413,0.075,Black
61,0.445,0.183,Black
62,0.462,0.269,Black
63,0.589,0.436,Black
64,0.607,0.538,Black
65,0.637,0.357,Black
66,0.663,0.458,Black
67,0.681,0.275,Black
68,0.695,0.484,Black
69,0.702,0.099,Black
70,0.715,0.33,Black
71,0.719,0.307,Black
72,0.724,0.113,Black
73,0.739,0.432,Black
74,0.784,0.257,Black
75,0.797,0.545,Black